x,y,z,distance,angle,intensity,average_intensity
-2.43,17.96,-0.53,18.13,0,52,34
-2.36,17.95,-0.53,18.12,0,63,34
-2.31,17.95,-0.53,18.11,0,81,34
-2.21,17.92,-0.95,18.08,0,42,34
-2.18,17.96,-0.53,18.1,0,63,34
-2.11,17.95,-0.53,18.08,0,52,34
-2.08,17.92,-0.95,18.07,0,54,34
-2.05,17.96,-0.53,18.08,0,27,34
-2.02,17.92,-0.95,18.06,0,63,34
-1.96,17.92,-0.94,18.05,0,105,34
-1.93,17.96,-0.53,18.07,0,77,34
-1.8,17.96,-0.53,18.06,0,78,34
-1.74,17.97,-0.53,18.06,0,84,34
-2.6,17.93,-0.84,18.14,0,78,34
-2.27,17.96,-0.63,18.11,0,15,34
-2.2,17.95,-0.63,18.1,0,15,34
-2.14,17.95,-0.63,18.09,0,23,34
-2.07,17.95,-0.63,18.08,0,42,34
-2.01,17.96,-0.63,18.08,0,63,34
-1.95,17.95,-0.63,18.06,0,8,34
-1.88,17.95,-0.63,18.06,0,63,34
-1.82,17.95,-0.63,18.06,0,63,34
-1.76,17.96,-0.63,18.06,0,16,34
-2.56,17.97,-0.53,18.16,0,63,34
-2.49,17.95,-0.53,18.13,0,63,34
-1.76,17.96,-0.42,18.06,0,63,34
-2.59,17.93,-0.74,18.13,0,13,34
-1.7,17.96,-0.42,18.04,0,22,34
-2.53,17.93,-0.74,18.12,0,63,34
-2.46,17.93,-0.74,18.11,0,63,34
-2.34,17.93,-0.74,18.1,0,17,34
-2.28,17.93,-0.74,18.09,0,45,34
-2.21,17.93,-0.74,18.08,0,8,34
-2.15,17.93,-0.74,18.07,0,43,34
-2.08,17.92,-0.74,18.06,0,32,34
-2.02,17.94,-0.74,18.06,0,12,34
-1.9,17.94,-0.73,18.05,0,39,34
-1.83,17.93,-0.73,18.04,0,27,34
-2.58,17.95,-0.63,18.15,0,63,34
-2.45,17.95,-0.63,18.13,0,63,34
-2.39,17.95,-0.63,18.12,0,8,34
-2.33,17.95,-0.63,18.12,0,22,34
-2.2,17.95,-0.42,18.09,0,62,34
-2.15,17.94,-0.84,18.09,0,63,34
-2.14,17.96,-0.42,18.09,0,41,34
-2.08,17.96,-0.42,18.08,0,63,34
-2.03,17.94,-0.84,18.07,0,27,34
-2.02,17.95,-0.42,18.07,0,63,34
-1.96,17.94,-0.84,18.06,0,63,34
-1.95,17.96,-0.42,18.07,0,8,34
-1.9,17.94,-0.84,18.06,0,16,34
-1.89,17.96,-0.42,18.06,0,29,34
-1.84,17.95,-0.84,18.06,0,63,34
-1.83,17.96,-0.42,18.06,0,8,34
